Canton,Heat pumps (%)
Valais,22.23576730107393
Ticino,16.02297087683218
Graubünden,12.045478780123691
Uri,10.05714285714285
Vaud,9.85949925938708
Obwalden,9.813573523250941
Glarus,9.21895006402048
Nidwalden,8.430160692212601
Fribourg,7.46811419167319
Schwyz,6.74810757585082
Jura,6.01516427969671
Aargau,5.32813640029184
Bern,5.300354828499549
Lucerne,4.82253632835736
Geneva,4.561869945718399
Solothurn,3.81897522522522
Zug,3.67996054983665
Appenzell Innerrhoden,3.4688549048862303
Appenzell Ausserrhoden,3.33191204239507
Zurich,3.1864812766906003
Schaffhausen,3.06532919191404
Basel-Landschaft,2.83253756700547
St. Gallen,2.72031908280958
Neuchâtel,2.6401286944453197
Thurgau,2.48581224875857
Basel,0.7036649214659599
