Año,Cantón,Sistema de calefacción,Proporción
2021,Basilea,Biomasa,0.3988780631827576
2021,Basilea,Calefacción urbana,0.0109241216415707
2021,Basilea,Electricidad,0.1111814079041714
2021,Basilea,Gas,0.4429963305074022
2021,Basilea,Bomba de calor,0.0082669028638913
2021,Basilea,Gasóleo,0.0272470369901725
2021,Basilea,Sin sistema de calefacción,0.0
2021,Basilea,Otros,0.0005061369100341
2021,Basilea,Solar térmica,0.0
2022,Basilea,Biomasa,0.4075988736182911
2022,Basilea,Calefacción urbana,0.0116000504350018
2022,Basilea,Electricidad,0.1023410246711217
2022,Basilea,Gas,0.429538099441012
2022,Basilea,Bomba de calor,0.0079014836296389
2022,Basilea,Gasóleo,0.0405161181860211
2022,Basilea,Sin sistema de calefacción,4.202916824276048e-05
2022,Basilea,Otros,0.0004623208506703
2022,Basilea,Solar térmica,0.0
2023,Basilea,Biomasa,0.4177639855741005
2023,Basilea,Calefacción urbana,0.0122033045374486
2023,Basilea,Electricidad,0.0958651346137717
2023,Basilea,Gas,0.4092090916715591
2023,Basilea,Bomba de calor,0.0075065000419357
2023,Basilea,Gasóleo,0.0569906902625178
2023,Basilea,Sin sistema de calefacción,4.193575442422209e-05
2023,Basilea,Otros,0.0004193575442422
2023,Basilea,Solar térmica,0.0
2024,Basilea,Biomasa,0.4319162303664921
2024,Basilea,Calefacción urbana,0.0126910994764397
2024,Basilea,Electricidad,0.0884188481675392
2024,Basilea,Gas,0.3852984293193717
2024,Basilea,Bomba de calor,0.0070366492146596
2024,Basilea,Gasóleo,0.0741780104712041
2024,Basilea,Sin sistema de calefacción,4.18848167539267e-05
2024,Basilea,Otros,0.0004188481675392
2024,Basilea,Solar térmica,0.0
2021,Ginebra,Biomasa,0.0197186860144217
2021,Ginebra,Calefacción urbana,0.018984242855871
2021,Ginebra,Electricidad,0.4137585685035164
2021,Ginebra,Gas,0.409018071752871
2021,Ginebra,Bomba de calor,0.046648268494614
2021,Ginebra,Gasóleo,0.0825247039971512
2021,Ginebra,Sin sistema de calefacción,0.0002893260927623
2021,Ginebra,Otros,0.0083236891302412
2021,Ginebra,Solar térmica,0.0007344431585506
2022,Ginebra,Biomasa,0.0199142427725223
2022,Ginebra,Calefacción urbana,0.0190964547785341
2022,Ginebra,Electricidad,0.4035894262222615
2022,Ginebra,Gas,0.4048492617805675
2022,Ginebra,Bomba de calor,0.0455972062593935
2022,Ginebra,Gasóleo,0.1008973565555653
2022,Ginebra,Sin sistema de calefacción,0.0002873309168066
2022,Ginebra,Otros,0.0049951374767925
2022,Ginebra,Solar térmica,0.0007735832375563
2023,Ginebra,Biomasa,0.0196814536730568
2023,Ginebra,Calefacción urbana,0.0196370260123953
2023,Ginebra,Electricidad,0.3908745585001221
2023,Ginebra,Gas,0.4006486438456583
2023,Ginebra,Bomba de calor,0.0438945287335895
2023,Ginebra,Gasóleo,0.119599262500833
2023,Ginebra,Sin sistema de calefacción,0.0002443521336384
2023,Ginebra,Otros,0.0043316969144989
2023,Ginebra,Solar térmica,0.0010884776862074
2024,Ginebra,Biomasa,0.0519552453749861
2024,Ginebra,Calefacción urbana,0.0467264872050515
2024,Ginebra,Electricidad,0.2769690927218345
2024,Ginebra,Gas,0.4111000332336324
2024,Ginebra,Bomba de calor,0.045618699457184
2024,Ginebra,Gasóleo,0.1626453971419076
2024,Ginebra,Sin sistema de calefacción,0.0001772460396588
2024,Ginebra,Otros,0.0035892323030907
2024,Ginebra,Solar térmica,0.0012185665226542
2021,Graubünden,Biomasa,0.0100084104289318
2021,Graubünden,Calefacción urbana,0.2551023268853378
2021,Graubünden,Electricidad,0.3884917297448836
2021,Graubünden,Gas,0.0434118306700308
2021,Graubünden,Bomba de calor,0.1310625175217269
2021,Graubünden,Gasóleo,0.158578637510513
2021,Graubünden,Sin sistema de calefacción,0.0038407625455564
2021,Graubünden,Otros,0.0053266049901878
2021,Graubünden,Solar térmica,0.0041771797028315
2022,Graubünden,Biomasa,0.0095409934661964
2022,Graubünden,Calefacción urbana,0.2667104076109243
2022,Graubünden,Electricidad,0.3749419065584078
2022,Graubünden,Gas,0.0399819568604937
2022,Graubünden,Bomba de calor,0.1278875857732578
2022,Graubünden,Gasóleo,0.1649170288963613
2022,Graubünden,Sin sistema de calefacción,0.0047704967330982
2022,Graubünden,Otros,0.0068208534951748
2022,Graubünden,Solar térmica,0.0044287706060854
2023,Graubünden,Biomasa,0.0102025688370149
2023,Graubünden,Calefacción urbana,0.2746607005674084
2023,Graubünden,Electricidad,0.3579390002291198
2023,Graubünden,Gas,0.0386268986616709
2023,Graubünden,Bomba de calor,0.1225925576505788
2023,Graubünden,Gasóleo,0.1775273932908338
2023,Graubünden,Sin sistema de calefacción,0.0058897259997034
2023,Graubünden,Otros,0.0080596250522258
2023,Graubünden,Solar térmica,0.0045015297114438
2024,Graubünden,Biomasa,0.0117295798677756
2024,Graubünden,Calefacción urbana,0.2774578801450202
2024,Graubünden,Electricidad,0.3456760503305608
2024,Graubünden,Gas,0.0369748347195564
2024,Graubünden,Bomba de calor,0.1204547878012369
2024,Graubünden,Gasóleo,0.1873267221155896
2024,Graubünden,Sin sistema de calefacción,0.0062380038387715
2024,Graubünden,Otros,0.0096502452548517
2024,Graubünden,Solar térmica,0.0044918959266368
2021,Suiza,Biomasa,0.0359933512234797
2021,Suiza,Calefacción urbana,0.1182254598088899
2021,Suiza,Electricidad,0.4073858009504211
2021,Suiza,Gas,0.1759146999624047
2021,Suiza,Bomba de calor,0.0804910039167809
2021,Suiza,Gasóleo,0.1704354903529048
2021,Suiza,Sin sistema de calefacción,0.002932090154163
2021,Suiza,Otros,0.005212041071808
2021,Suiza,Solar térmica,0.0034100625591476
2022,Suiza,Biomasa,0.0377993649321326
2022,Suiza,Calefacción urbana,0.1194541485816836
2022,Suiza,Electricidad,0.3926481568300602
2022,Suiza,Gas,0.175383026357725
2022,Suiza,Bomba de calor,0.0793325121924852
2022,Suiza,Gasóleo,0.1853722663879493
2022,Suiza,Sin sistema de calefacción,0.0032151080954069
2022,Suiza,Otros,0.0037012951732489
2022,Suiza,Solar térmica,0.0030941214493079
2023,Suiza,Biomasa,0.0383568810097326
2023,Suiza,Calefacción urbana,0.1186796197942141
2023,Suiza,Electricidad,0.3720034645284599
2023,Suiza,Gas,0.1719425619998338
2023,Suiza,Bomba de calor,0.0755486944159854
2023,Suiza,Gasóleo,0.2126820034701056
2023,Suiza,Sin sistema de calefacción,0.0041661345131618
2023,Suiza,Otros,0.0034310655321246
2023,Suiza,Solar térmica,0.0031895747363818
2024,Suiza,Biomasa,0.0436506635898569
2024,Suiza,Calefacción urbana,0.1237886311733633
2024,Suiza,Electricidad,0.3485014718356921
2024,Suiza,Gas,0.1732949732047576
2024,Suiza,Bomba de calor,0.0707675488422244
2024,Suiza,Gasóleo,0.2303240927198157
2024,Suiza,Sin sistema de calefacción,0.0036375090062789
2024,Suiza,Otros,0.0031614330718896
2024,Suiza,Solar térmica,0.0028736765561211
2021,Ticino,Biomasa,0.0084327146990332
2021,Ticino,Calefacción urbana,0.1158175146425799
2021,Ticino,Electricidad,0.4396919765718721
2021,Ticino,Gas,0.0714751958224543
2021,Ticino,Bomba de calor,0.2087890762825488
2021,Ticino,Gasóleo,0.147281419801002
2021,Ticino,Sin sistema de calefacción,0.0059364194481687
2021,Ticino,Otros,0.000952649777715
2021,Ticino,Solar térmica,0.0016230329546256
2022,Ticino,Biomasa,0.0131358570313664
2022,Ticino,Calefacción urbana,0.1298941590157753
2022,Ticino,Electricidad,0.404107366778032
2022,Ticino,Gas,0.070633730565859
2022,Ticino,Bomba de calor,0.2084286954462947
2022,Ticino,Gasóleo,0.1572532203895158
2022,Ticino,Sin sistema de calefacción,0.0074448215084313
2022,Ticino,Otros,0.002972667245416
2022,Ticino,Solar térmica,0.0061294820193091
2023,Ticino,Biomasa,0.013784669141734
2023,Ticino,Calefacción urbana,0.1145402926403144
2023,Ticino,Electricidad,0.394391788600131
2023,Ticino,Gas,0.0720419305525223
2023,Ticino,Bomba de calor,0.2031098493120768
2023,Ticino,Gasóleo,0.1746756933828346
2023,Ticino,Sin sistema de calefacción,0.017899104607993
2023,Ticino,Otros,0.0030923782485258
2023,Ticino,Solar térmica,0.0064642935138676
2024,Ticino,Biomasa,0.0118165815570699
2024,Ticino,Calefacción urbana,0.1902155916133642
2024,Ticino,Electricidad,0.3169649859699879
2024,Ticino,Gas,0.1049288042246893
2024,Ticino,Bomba de calor,0.1602297087683218
2024,Ticino,Gasóleo,0.1888474475835265
2024,Ticino,Sin sistema de calefacción,0.0227530195025881
2024,Ticino,Otros,0.0019258587935932
2024,Ticino,Solar térmica,0.0023180019868588
2021,Zúrich,Biomasa,0.047474938528466
2021,Zúrich,Calefacción urbana,0.0636840693055806
2021,Zúrich,Electricidad,0.4192028714574142
2021,Zúrich,Gas,0.2349818114638362
2021,Zúrich,Bomba de calor,0.0365662155088611
2021,Zúrich,Gasóleo,0.1873045337180711
2021,Zúrich,Sin sistema de calefacción,0.0009193238351199
2021,Zúrich,Otros,0.0086609982361298
2021,Zúrich,Solar térmica,0.0012052379465208
2022,Zúrich,Biomasa,0.0481883819430728
2022,Zúrich,Calefacción urbana,0.0638444488335857
2022,Zúrich,Electricidad,0.4081462461869335
2022,Zúrich,Gas,0.2336252112274233
2022,Zúrich,Bomba de calor,0.0358329492834726
2022,Zúrich,Gasóleo,0.2019663352865012
2022,Zúrich,Sin sistema de calefacción,0.000592534070709
2022,Zúrich,Otros,0.0064783725064191
2022,Zúrich,Solar térmica,0.0013255206618825
2023,Zúrich,Biomasa,0.0534577147111636
2023,Zúrich,Calefacción urbana,0.0629658827136162
2023,Zúrich,Electricidad,0.3762843253186178
2023,Zúrich,Gas,0.2337669163053475
2023,Zúrich,Bomba de calor,0.033201944553935
2023,Zúrich,Gasóleo,0.232606315420663
2023,Zúrich,Sin sistema de calefacción,0.0006744624009109
2023,Zúrich,Otros,0.005741689659703
2023,Zúrich,Solar térmica,0.0013007489160425
2024,Zúrich,Biomasa,0.0552541972820932
2024,Zúrich,Calefacción urbana,0.0623877191525445
2024,Zúrich,Electricidad,0.3632676076038447
2024,Zúrich,Gas,0.2294004257383763
2024,Zúrich,Bomba de calor,0.031864812766906
2024,Zúrich,Gasóleo,0.2511725289471498
2024,Zúrich,Sin sistema de calefacción,0.0007911565309753
2024,Zúrich,Otros,0.0045283876579581
2024,Zúrich,Solar térmica,0.0013331643201517
